"Alumino-ferrobarroisite","[box]NaCa(Fe^2+^_3_Al_2_)(Si_7_Al)O_22_(OH)_2_","","",""
"Alumino-ferrotschermakite","[box]Ca_2_(Fe^2+^_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_","","",""
"Alumino-magnesiotaramite","Na_2_CaMg_3_Al_2_(Si_6_Al_2_)O_22_(OH)_2_","","",""
"Alumohydrocalcite","CaAl_2_(CO_3_)_2_(OH)_4_·3H_2_O","","",""
"Alumoklyuchevskite","K_3_Cu^2+^_3_AlO_2_(SO_4_)_4_","","",""
"Pharmacoalumite","KAl_4_(AsO_4_)_3_(OH)_4_·6.5H_2_O","","",""
"Alumotantite","AlTaO_4_","","",""
"Alunite","KAl_3_(SO_4_)_2_(OH)_6_","","",""
"Alunogen","Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O","","",""
"Alvanite","(Zn,Ni)Al_4_(VO_3_)_2_(OH)_12_·2H_2_O","","",""
"Amakinite","Fe^2+^(OH)_2_","","",""
"Amarantite","Fe^3+^_2_O(SO_4_)_2_(H_2_O)_4_·3H_2_O","","",""
"Amarillite","NaFe^3+^(SO_4_)_2_·6H_2_O","","",""
"Amblygonite","LiAlPO_4_F","","",""
"Ameghinite","NaB_3_O_3_(OH)_4_","","",""
"Amesite","Mg_2_Al(SiAl)O_5_(OH)_4_","","",""
"Amicite","K_2_Na_2_(Si_4_Al_4_)O_16_·5H_2_O","","",""
"Aminoffite","Ca_3_(BeOH)_2_Si_3_O_10_","","",""
"Ammonioalunite","NH_4_Al_3_(SO_4_)_2_(OH)_6_","","",""
"Ammonioborite","(NH_4_)_3_B_15_O_20_(OH)_8_·4H_2_O","","",""
"Ammoniojarosite","NH_4_Fe^3+^_3_(SO_4_)_2_(OH)_6_","","",""
"Ammonioleucite","(NH_4_)(Si_2_Al)O_6_","","",""
"Amstallite","CaAl(Si,Al)_4_O_8_(OH)_4_·(H_2_O,Cl)","","",""
"Analcime","Na(Si_2_Al)O_6_·H_2_O","","",""
"Anandite","BaFe^2+^_3_(Si_3_Fe^3+^)O_10_S(OH)","","",""
"Anapaite","Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O","","",""
"Anatase","TiO_2_","","",""
"Ancylite-(Ce)","CeSr(CO_3_)_2_(OH)·H_2_O","","",""
"Ancylite-(La)","LaSr(CO_3_)_2_(OH)·H_2_O","","",""
"Andalusite","Al_2_OSiO_4_","","",""
"Andersonite","Na_2_Ca(UO_2_)(CO_3_)_3_·6H_2_O","","",""
"Andorite VI","AgPbSb_3_S_6_","","",""
"Andradite","Ca_3_Fe^3+^_2_(SiO_4_)_3_","","",""
"Andremeyerite","BaFe^2+^_2_Si_2_O_7_","","",""
"Manganiandrosite-(La)","Mn^2+^La^3+^AlMn^3+^Mn^2+^(Si_2_O_7_)(SiO_4_)O(OH)","","",""
"Anduoite","RuAs_2_","","",""
"Andyrobertsite","KCdCu_5_(AsO_4_)_4_[As(OH)_2_O_2_]·2H_2_O","","",""
"Angelellite","Fe^3+^_4_O_3_(AsO_4_)_2_","","",""
"Anglesite","PbSO_4_","","",""
"Anhydrite","CaSO_4_","","",""
"Anilite","Cu_7_S_4_","","",""
"Ankangite","Ba(Ti,V^3+^,Cr^3+^)_8_O_16_","","",""
"Ankerite","CaFe^2+^(CO_3_)_2_","","",""
"Annabergite","Ni_3_(AsO_4_)_2_·8H_2_O","","",""
"Annite","KFe^2+^_3_(Si_3_Al)O_10_(OH)_2_","","",""
"Anorthite","CaAl_2_Si_2_O_8_","","",""
"Anorthoclase","(Na,K)AlSi_3_O_8_","","",""
"Antarcticite","CaCl_2_·6H_2_O","","",""
"Anthoinite","AlWO_3_(OH)_3_","","",""
"Anthonyite","Cu(OH)_2_·3H_2_O","","",""
"Anthophyllite","[box]Mg_7_Si_8_O_22_(OH)_2_","","",""
"Antigorite","Mg_3_Si_2_O_5_(OH)_4_","","",""
"Antimonselite","Sb_2_Se_3_","","",""
"Antimony","Sb","","",""
"Antlerite","Cu^2+^_3_SO_4_(OH)_4_","","",""
"Anyuiite","AuPb_2_","","",""
"Apachite","Cu^2+^_9_Si_10_O_29_·11H_2_O","","",""
"Aphthitalite","K_3_Na(SO_4_)_2_","","",""
"Apjohnite","Mn^2+^Al_2_(SO_4_)_4_·22H_2_O","","",""
"Aplowite","CoSO_4_·4H_2_O","","",""
"Apuanite","Fe^3+^_4_Fe^2+^Sb^3+^_4_O_12_S","","",""
"Aqualite","(H_3_O)_8_Na_4_Ca_6_SrZr_3_Si_26_O_66_(OH)_9_Cl","","",""
"Aragonite","CaCO_3_","","",""
"Arakiite","ZnMn^2+^_12_Fe^3+^_2_AsO_3_(AsO_4_)_2_(OH)_23_","","",""
"Aramayoite","Ag_3_Sb_2_(Bi,Sb)S_6_","","",""
"Aravaipaite","Pb_3_AlF_9_·H_2_O","","",""
"Arcanite","K_2_SO_4_","","",""
"Archerite","H_2_KPO_4_","","",""
"Arctite","Na_5_Ca_7_Ba(PO_4_)_6_F_3_","","",""
"Arcubisite","Ag_6_CuBiS_4_","","",""
"Ardaite","Pb_17_Sb_15_S_35_Cl_9_","","",""
"Ardealite","Ca_2_(PO_3_OH)(SO_4_)·4H_2_O","","",""
"Ardennite-(As)","Mn^2+^_4_(AlMg)Al_4_(Si_5_As)O_22_(OH)_6_","","",""
"Arfvedsonite","NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_","","",""
"Argentojarosite","AgFe^3+^_3_(SO_4_)_2_(OH)_6_","","",""
"Argentopentlandite","Ag(Fe,Ni)_8_S_8_","","",""
"Argentopyrite","AgFe_2_S_3_","","",""
"Argentotennantite","Ag_6_Cu_4_(Fe,Zn)_2_As_4_S_13_","","",""
"Argutite","GeO_2_","","",""
"Argyrodite","Ag_8_GeS_6_","","",""
"Arhbarite","Cu_2_MgAsO_4_(OH)_3_","","",""
"Aristarainite","Na_2_Mg[B_6_O_8_(OH)_4_]_2_·4H_2_O","","",""
"Armalcolite","(Mg,Fe^2+^,Al)(Ti^4+^,Fe^3+^)_2_O_5_","","",""
"Armangite","Mn^2+^_26_As^3+^_18_O_50_(CO_3_)(OH)_4_","","",""
"Armenite","BaCa_2_(Si_9_Al_6_)O_30_·2H_2_O","","",""
"Armstrongite","CaZrSi_6_O_15_·2.5H_2_O","","",""
"Arrojadite-(KNa)","KNa_3_(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","","",""
"Arsenbrackebuschite","Pb_2_(Fe^3+^,Zn)(AsO_4_)_2_(OH,H_2_O)","","",""
"Arsendescloizite","PbZnAsO_4_(OH)","","",""
"Arsenic","As","","",""
"Arseniopleite","CaNaMn^2+^Mn^2+^_2_(AsO_4_)_3_","","",""
"Arseniosiderite","Ca_2_Fe^3+^_3_O_2_(AsO_4_)_3_·3H_2_O","","",""
"Arsenoclasite","Mn^2+^_5_(AsO_4_)_2_(OH)_4_","","",""
"Arsenocrandallite","CaAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_","","",""
"Arsenoflorencite-(Ce)","CeAl_3_(AsO_4_)_2_(OH)_6_","","",""
"Arsenogorceixite","BaAl_3_(AsO_3_OH)AsO_4_(OH)_6_","","",""
"Arsenogoyazite","SrAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_","","",""
"Arsenohauchecornite","Ni_18_Bi_3_AsS_16_","","",""
"Arsenolamprite","As","","",""
"Arsenolite","As_2_O_3_","","",""
"Arsenopalladinite","Pd_8_As_3_","","",""
"Arsenopyrite","FeAsS","","",""
"Arsentsumebite","Pb_2_Cu(AsO_4_)(SO_4_)(OH)","","",""
"Arsenuranospathite","Al(UO_2_)_2_(AsO_4_)_2_F·20H_2_O","","",""
"Arsenuranylite","Ca(UO_2_)_4_(AsO_4_)_2_(OH)_4_·6H_2_O","","",""
"Arthurite","CuFe^3+^_2_(AsO_4_)_2_(OH)_2_·4H_2_O","","",""
"Artinite","Mg_2_CO_3_(OH)_2_·3H_2_O","","",""
"Artroeite","PbAlF_3_(OH)_2_","","",""
"Artsmithite","Hg^1+^_4_Al(PO_4_)_1.74_(OH)_1.78_","","",""
"Arupite","Ni_3_(PO_4_)_2_·8H_2_O","","",""
"Asbecasite","Ca_3_TiAs_6_Be_2_Si_2_O_20_","","",""
"Asbolane","Mn^4+^(O,OH)_2_·(Co,Ni,Mg,Ca)_x_(OH)_2x_·nH_2_O","","",""
"Aschamalmite","Pb_6-3x_Bi_2+x_S_9_","","",""
"Ashburtonite","HCu_4_Pb_4_Si_4_O_12_(HCO_3_)_4_(OH)_4_Cl","","",""
"Ashcroftine-(Y)","K_5_Na_5_Y_12_Si_28_O_70_(OH)_2_(CO_3_)_8_·8H_2_O","","",""
"Ashoverite","Zn(OH)_2_","","",""
"Asisite","Pb_7_SiO_8_Cl_2_","","",""
"Aspidolite","NaMg_3_(Si_3_Al)O_10_(OH)_2_","","",""
"Asselbornite","Pb(UO_2_)_4_(BiO)_3_(AsO_4_)_2_(OH)_7_·4H_2_O","","",""
"Astrocyanite-(Ce)","Cu_2_Ce_2_(UO_2_)(CO_3_)_5_(OH)_2_·1.5H_2_O","","",""
"Astrophyllite","K_2_NaFe^2+^_7_Ti_2_(Si_4_O_12_)_2_O_2_(OH)_4_F","","",""
"Atacamite","Cu_2_Cl(OH)_3_","","",""
"Atelestite","Bi_2_O(AsO_4_)(OH)","","",""
"Athabascaite","Cu_5_Se_4_","","",""
"Atheneite","Pd_2_As","","",""
"Atlasovite","Cu^2+^_6_Fe^3+^Bi^3+^O_4_(SO_4_)_5_·KCl","","",""
"Atokite","Pd_3_Sn","","",""
"Attakolite","CaMn^2+^Al_4_(HSiO_4_)(PO_4_)_3_(OH)_4_","","",""
"Aubertite","Cu^2+^Al(SO_4_)_2_Cl·14H_2_O","","",""
"Augelite","Al_2_PO_4_(OH)_3_","","",""
"Augite","(Ca,Mg,Fe)_2_(Si,Al)_2_O_6_","","",""
"Aurichalcite","Zn_5_(CO_3_)_2_(OH)_6_","","",""
"Auricupride","Cu_3_Au","","",""
"Aurorite","(Mn^2+^,Ag,Ca)Mn^4+^_3_O_7_·3H_2_O","","",""
"Aurostibite","AuSb_2_","","",""
"Austinite","CaZnAsO_4_(OH)","","",""
"Autunite","Ca(UO_2_)_2_(PO_4_)_2_·10-12H_2_O","","",""
"Averievite","Cu_5_O_2_(VO_4_)_2_·n(Cu,Cs)Cl","","",""
"Avicennite","Tl_2_O_3_","","",""
"Avogadrite","KBF_4_","","",""
"Awaruite","Ni_3_Fe","","",""
"Azoproite","Mg_2_[(Ti,Mg),Fe^3+^]O_2_BO_3_","","",""
"Azurite","Cu_3_(CO_3_)_2_(OH)_2_","","",""
"Babefphite","BaBePO_4_F","","",""
"Babingtonite","Ca_2_Fe^2+^Fe^3+^Si_5_O_14_(OH)","","",""
"Babkinite","Pb_2_Bi_2_S_3_","","",""
"Baddeleyite","ZrO_2_","","",""
"Bafertisite","BaFe^2+^_2_Ti(Si_2_O_7_)O(OH)_2_","","",""
"Baghdadite","Ca_3_ZrO_2_(Si_2_O_7_)","","",""
"Bahianite","Al_5_Sb^5+^_3_O_14_(OH)_2_","","",""
"Baileychlore","Zn_6_Si_4_O_10_(OH)_8_","","",""
